name,taxon_id,family,count
Arcitalitrus dorrieni,512080,1128399,192
Arcturus baffini,1020001,245446,6
Argas vespertilionis,651240,123675,32
Aproceros leucopoda,497733,82227,3288
Austroargiolestes icteromelas,323643,550512,6807
Argulus foliaceus,467516,144120,23
Argyresthia goedartella,214138,85600,1550
Aristaeopsis edwardsiana,260237,245489,11
Arixenia esau,713349,713338,14
Arkys curtulus,504971,860669,1024
Armadillo officinalis,319939,85603,1493
Armadillidium vulgare,56083,48296,70519
Arrenurus marshallae,777119,121464,6
Arrhenophanes perspicilla,257395,245531,108
Arrhopalites caecus,296634,171235,6
Eurypogon niger,219883,176417,39
Artemia monica,94658,85605,208
Chilacis typhae,467709,372918,224
Arthroplea congener,987911,173185,3
Zoosphaerium neptunus,122723,122722,100
Presbistus peleus,542365,460562,144
Ascorhynchus longicollis,812986,372891,4
Asellus aquaticus,434576,85607,772
Ashinaga longimana,319659,1240134,22
Dioctria hyalipennis,135239,47982,8164
Octobunus singularis,535106,340919,34
Pacifastacus leniusculus,53708,53709,5468
Asteia beata,552020,173269,76
Planchonia arabidis,1089153,321513,12
Atelecyclus undecimdentatus,363950,245423,319
Meghyperus occidens,1470354,558000,3
Paratemnoides nidificator,900156,432754,75
Atherix ibis,738294,154586,135
Comanchelus chihuanus,217486,154899,6
Chirodiscoides caviae,262725,245060,1
Atrax robustus,205276,860664,162
Atriplectides dubius,1355138,981170,1
Apoderus coryli,60472,60474,2304
Atteva aurea,116681,124078,27441
Albia caerulea,1096741,245038,4
Paratya curvirostris,410704,85614,213
Atylus carinatus,1080709,870473,2
Sphodros niger,129217,61443,590
Haloptilus acutifrons,1489190,996601,1
Pristaulacus fasciatus,471670,145378,122
Aulacigaster mcalpinei,752257,371084,13
Metoligotoma tasmanica,1041713,900663,1
Austrobalanus imperator,635230,373245,209
Austrochilus franckei,816444,133899,15
Austroleptis rhyphoides,892205,557995,11
Austroperla cyrene,386475,372957,104
Austropetalia tonyana,323652,85619,72
Taygete attributella,232337,210585,823
Calocaris macandreae,1091275,171357,21
Axymyia furcata,367239,367238,12
Clonopsis gallica,337089,337090,1442
Cloeon dipterum,217219,48009,577
Baetisca berneri,173443,173464,2
Semibalanus balanoides,118832,49128,3243
Balloniscus glaber,1474975,424995,8
Barbarochthon brunneum,652583,981174,3
Parhippolyte misticia,983830,849310,15
Seqocrypta jakara,830496,143552,72
Monitus testudinatus,1416397,339121,1
Batrachedra praeangusta,214908,173417,231
Neomolgus littoralis,120956,120955,201
Bedellia somnulentella,214958,173416,493
Beesonia ferrugineus,739497,739500,144
Dolania americana,218620,173784,13
Rhinotia suturalis,556953,201388,345
Belisarius xambeui,130034,1286465,85
Bellia picta,751724,373282,67
Beloniscus albiephippiatus,526414,983073,1
Lethocerus americanus,81572,81570,4501
Damarchus workmani,786456,1108914,10
Benthoecetes bartletti,1375107,245484,5
Beraeodes minutus,988245,173415,3
Lomamyia squamosa,307858,177315,247
Neoneides muticus,60039,57804,818
Pristepyris armiferus,1116113,203283,34
Plecia nearctica,127635,56097,6668
Biphyllus lunatus,577756,173920,105
Harpobittacus australis,557714,49363,373
Pycnoscelus surinamensis,84635,84636,5696
Blaniulus guttulatus,133831,133832,590
Blasticotoma filiceti,856298,856577,18
Blastobasis adustella,336938,173093,1046
Blattella germanica,121237,1425419,2774
Periplaneta americana,82231,82232,15568
Philorus yosemite,1466866,49361,5
Blepharipoda occidentalis,117663,193860,1022
Ischnodemus sabuleti,510323,489050,667
Troglobisium racovitzai,465047,172599,4
Iphinoe canariensis,1367794,245429,2
Ernolatia moorei,211004,83861,553
Bombylius major,51557,51558,19662
Heterodoxus spiniger,493354,372962,4
Orthione griffenis,261265,119412,38
Boreus brumalis,207875,173350,427
Boros schneideri,717301,173346,137
Bosmina longirostris,203468,171264,72
Xylobiops basilaris,233843,47625,1328
Bothrideres bipunctatus,625715,173345,100
Cercophonius squama,207971,207967,1363
Bourletiella hortensis,386771,179535,205
Phycodes minor,509571,123028,234
Brachycentrus subnubilis,1005701,172761,161
Brachychaeteuma melanops,336957,336958,1
Deltopauropus luteus,1433400,372963,7
Brachypsectra fulva,495151,495152,38
Brachyscelus rapacoides,260816,245479,1
Boreodromia bicolor,1470350,464956,33
Brachystomella parvula,296566,205710,6
Cotesia congregata,83916,63187,1496
Micatagla schultzei,1146618,55140,20
Brahmaea certhia,179910,179915,190
Branchinecta cornigera,215433,85645,133
Branchipus schaefferi,856252,85646,434
Branneria carinata,571007,571010,5
Braula coeca,510331,56882,5
Arrenodes minutus,1506398,61949,2191
Talitroides topitotum,260706,1128395,27
Bucculatrix thoracella,207526,173305,169
Fumontana deprehendor,172517,1150517,6
Buotus carolinus,215595,1205854,8
Agrilus planipennis,70057,54964,5176
Centruroides vittatus,119056,119058,8300
Cytilus sericeus,487447,130840,259
Bythocaris payeri,459544,849311,8
Bythograea thermydron,1068091,195227,2
Byturus ochraceus,130843,130844,616
Caddo agilis,481377,245374,149
Valenzuela flavidus,308612,245105,1267
Caenis youngi,215688,173246,10
Anisocentropus bicoloratus,556333,173239,170
Calanus finmarchicus,372502,201757,9
Calantica spinosa,1438747,346601,144
Calappa flammea,295259,121190,329
Lepeophtheirus salmonis,369806,321542,41
Caliothrips marginipennis,307193,1377519,6
Caliscelis bonellii,325773,173236,125
Neotrypaea californiensis,56659,56657,486
Callianopsis goniophthalma,260756,1066994,1
Callichirus major,363647,1067020,68
Tetragonus catamitus,121881,121883,395
Calliopius laeviusculus,549459,340881,94
Stylopallene cheilorhynchus,521658,245150,14
Lucilia sericata,128824,61860,8130
Callipus foetidissimus,919441,919443,39
Zenoa picea,322987,272574,388
Calophya schini,387008,326724,684
Calopteryx maculata,84481,47929,40941
Calyptostoma velutinus,1072587,372920,10
Cambala annulata,215926,155338,50
Glyphiulus granulatus,563733,564234,29
Procambarus clarkii,51221,47782,14390
Cambaroides similis,85347,776747,158
Afrocamilla bispinosa,1322258,510152,15
Campichoeta punctum,1200277,981207,11
Campodea fragilis,387070,56214,5
Danielella edwardsii,1089754,342556,29
Campylonotus vagans,748499,630744,25
Tethinosoma fulvifrons,397970,203411,19
Cancer productus,47826,47828,8088
Ufocandona hannaleeae,1073604,85655,3
Canestrinia dorcicola,1469410,246200,9
Canopus impressus,1043776,505572,4
Rhagonycha fulva,62456,52932,33255
Attheyella nordenskioldii,1075680,85656,40
Canthyloscelis antennata,387102,557989,18
Allocapnia vivipara,213008,172900,329
Orthonops icenoglei,263770,245372,21
Caprella mutica,64634,47626,158
Cicindela sexguttata,49566,49567,30930
Caraboctonus keyserlingi,704746,119168,63
Carabodes femoralis,1138547,245066,1
Carcinus maenas,52523,773604,21914
Car pini,1375197,573565,4
Carnus hemapterus,943533,329801,2
Carpilius convexus,120923,49635,246
Coscinoptycha improbana,380078,173393,667
Mesohomotoma hibisci,338598,330264,59
Carthaea saturnioides,874748,874746,14
Paysandisia archon,472794,199258,1681
Catomerus polymerus,569788,569789,111
Taphropiestes watti,410219,372970,6
Rabdophaga strobiloides,203866,55699,7693
Cecidoses eremita,1154622,199247,41
Cea pulicaris,1375766,1426981,12
Celyphus difficilis,543442,53924,31
Centropages hamatus,203471,85665,12
Raillietiella orientalis,1470222,865301,1
Calameuta filiformis,494327,143247,204
Tetraopes tetrophthalmus,118559,47961,27505
Ceratocombus coleoptratus,887462,372971,25
Orchopeas howardi,525247,245153,23
Culicoides impunctatus,467165,69803,13
Bythotrephes longimanus,199410,171272,40
Prosapia bicincta,126291,61863,11407
Cerococcus quercus,484382,372972,139
Ceroma leppanae,656358,628049,6
Cerophytum pulsator,1032537,47887,11
Philothermus glabriculus,227837,174498,102
Anuroctonus pococki,203844,130036,1221
Chaerilus variegatus,656520,362376,16
Saduria entomon,555820,338426,181
Chaetodactylus krombeini,446781,429826,16
Chaetosoma colossa,387392,486524,15
Chalcedectus maculipennis,311210,1426983,14
Brachymeria podagrica,264880,121516,334
Chalcodrya variegata,387422,372974,45
Leucopis bellula,451415,203272,11
Chamaesoma brolemanni,1370031,982614,1
Chaoborus punctipennis,294394,129901,2209
Charinus pescotti,903876,329232,42
Charon grayi,707564,707566,29
Australocarcinus kanaka,902141,245509,5
Philanisus plebeius,395004,372976,135
Cheiracanthium mildei,61869,808367,2744
Telmessus cheiragonus,180391,180392,1413
Cheiridium museorum,656880,172467,2
Chelifer cancroides,409775,245019,593
Chelisoches morio,208122,208121,270
Macellolophus rubromarginatus,1144888,83054,18
Chelojulus sculpturatus,1497675,424111,3
Chelonarium ornatum,790422,342445,149
Chelonibia testudinaria,261201,245417,415
Wyochernes asiaticus,735992,172612,36
Austrochiltonia subtenuis,710056,710053,5
Eubranchipus vernalis,122272,85684,188
Polypedilum braseniae,541520,53275,195
Chirostylus sandyi,324862,245424,7
Arorathrips mexicanus,330686,1377520,1
Heliocypha perforata,561361,85688,1324
Chlorogomphus risi,562811,85689,32
Plumiperla diversa,228417,85690,20
Thaumatomyia glabra,133767,127593,415
Miropandalus hardingi,199623,1067005,65
Choctella cumminsi,514092,514093,133
Acanthochondria cornuta,371343,371345,2
Chordeuma proximum,336964,336973,19
Anthophila fabriciana,321979,67432,4080
Chorista australis,707725,707726,73
Erianthella formosana,710114,146921,298
Dystacta alticeps,471306,1097050,252
Chrysis angolensis,325772,126149,4376
Philomides frater,825292,1349202,1
Diabrotica undecimpunctata,55487,51146,35865
Chrysopa oculata,146945,52425,5849
Chthamalus dalli,129910,128745,422
Chthonius tetrachelatus,216895,172429,27
Picripleuroxus denticulatus,483919,85693,99
Typhoctes peculiaris,265618,554137,49
Chyromya femorella,900689,329822,24
Chyzeria novaezealandiae,387605,635493,2
Graphocephala coccinea,56925,53237,11915
Magicicada septendecim,105098,50186,12343
Octotemnus glabriculus,546312,82343,40
Cimbex americanus,1028452,53844,2809
Axia margarita,714432,319909,31
Cimex lectularius,69658,53667,678
Cirolana harfordi,67634,55803,178
Cithaeron praedonius,556721,416716,357
Melanoliarus aridus,504410,84074,1103
Holoscotolemon querilhaci,526493,172615,91
Calyptomerus dubius,655057,174593,3
Clastoptera proteus,132515,132516,1670
Clausidium vancouverense,117680,117687,11
Pseudocalanus elongatus,329013,201747,3
Cleidogona caesioannulata,217175,127645,4
Cleonymus laticornis,1076513,1426984,10
Trichodes apiarius,55048,55051,7261
Sylon hippolytes,1243675,996529,5
Elaver excepta,218963,121773,368
Clusia tigrina,605917,157184,104
Cryptes baccatus,702945,49456,726
Harmonia axyridis,48484,48486,287881
Coelopa frigida,194032,194033,204
Coelostomidia zealandica,387771,468943,222
Ischnura verticalis,84722,47925,34079
Coenobita clypeatus,133675,51731,6223
Coleophora mayrella,321675,85704,422
Colletes inaequalis,199041,127740,5951
Collophora quadrioculata,261862,245386,4
Phaenacantha australiae,475448,125910,31
Coloburiscus humeralis,408499,372989,382
Colossendeis proboscidea,813102,51486,5
Heteroconis ornata,390421,245154,120
Olinga feredayi,393812,372991,18
Physocephala tibialis,133978,61893,5862
Plumatyla humerosa,228416,171229,3
Lotisma trigonana,318948,204848,147
Coptopteryx gayi,539098,709389,938
Tachaea caridophaga,1201258,245506,6
Cordulegaster boltonii,85057,57448,4228
Epitheca princeps,100215,61430,7120
Leptoglossus occidentalis,67771,51777,44026
Corethrella wirthi,1496991,245528,4
Nyssus coloripes,466015,47418,2744
Corisella edulis,217597,84735,125
Coronula diadema,53636,53634,182
Corophium volutator,64638,64636,35
Ditrichocorycaeus anglicus,1196579,201732,2
Corydalus cornutus,126712,47863,8690
Polyphaga aegyptiaca,362699,180744,403
Sericoderus lateralis,203329,174370,39
Corystes cassivelaunus,549751,507530,719
Libitioides sayi,1494046,204982,1906
Limnaecia phragmitella,223680,82340,1907
Cossus cossus,362611,122745,7925
Sphecius speciosus,51954,51955,19031
Cydalima perspectalis,325295,52002,17712
Ventrivomer ancyrophorus,1074648,450503,204
Crangon septemspinosa,83099,47290,754
Crangonyx serratus,217722,85711,39
Nanogona polydesmoides,336978,50426,275
Craterostigmus crabilli,387961,372993,15
Cryptocercus punctulatus,468017,337962,88
Cryptochetum iceryae,311573,311574,55
Utinomiella dimorpha,505470,195348,20
Niponia nodulosa,563739,245111,66
Camarana flavipalpi,1365171,535011,17
Cryptomaster leviathan,526488,1042834,7
Liriopsis pygmaea,1187709,771792,12
Antherophagus ochraceus,173084,174139,63
Cryptops anomalans,217838,154635,96
Cryptorhamphus orbus,601782,601783,33
Phoneutria depilata,1247897,53389,1071
Cyrtocarenum cunicularium,703887,57327,21
Lochmostylia borgmeieri,531652,531650,4
Cucujus clavipes,122215,85716,1884
Aedes albopictus,62984,52134,8864
Tenomerga cinerea,367126,174138,773
Curalium cronini,518709,506109,1
Polydrusus formosus,494559,48736,12027
Curtonotum helvum,217937,174137,19
Cyamus scammoni,260717,245493,78
Matilda australia,824196,372997,3
Dirksia cinctipes,218579,52950,88
Cybocephalus politus,989639,373331,13
Cyclestheria hislopi,217961,171301,3
Orepukia poppelwelli,407703,372999,12
Acanthocyclops vernalis,212213,85718,78
Cyclotorna egena,1195918,874758,3
Sehirus cinctus,360116,57843,6170
Cylindroryctes spegazzinii,603288,153282,13
Vermicaris pontica,975977,195065,1
Liogma nodicornis,1045423,60419,21
Cynotelopus notabilis,895788,999544,30
Cylisticus convexus,130170,130171,1334
Cyllopus magellanicus,660762,983226,5
Cymus melanocephalus,556558,373002,217
Creniola laticauda,905051,49937,49
Andricus quercuscalifornicus,55887,55594,8130
Cyphocaris challengeri,660847,245496,8
Cyphoderus similis,296579,245389,26
Heterocypris incongruens,210271,85722,35
Vargula hilgendorfii,984886,85723,1
Cyproidea ornata,660936,473494,37
Pseudopomyza flavitarsis,427821,558005,14
Ancylotrypa elongata,810603,47421,2
Cyrtocoris egeris,569368,1279256,17
Cystisoma magna,1428308,245476,5
Spinileberis hyalina,348134,348281,7
Cyzicus californicus,68304,68306,127
Dactylopius opuntiae,335785,202092,334
Theopompella aurivillii,749585,1097043,8
Gluvia dorsalis,466946,466947,628
Daira perlata,524846,195220,20
Acraga coa,128162,128163,76
Lissodesmus martini,802807,373003,6
Damaeus onustus,554920,172485,14
Pseudoleosthenes irregularis,569746,569741,3
Simocephalus exspinosus,483830,85726,76
Dascillus cervinus,343019,128710,716
Teliapsocus conterminus,367248,245135,679
Madagapotamon humberti,105086,1412681,35
Asianopis subrufa,1429923,50003,1946
Pseudarmadillo vansicklei,1095016,813913,3
Asiraca clavicornis,450685,123608,1285
Demodex folliculorum,262789,373004,52
Machimia tentoriferella,81689,423543,3110
Omolicna uhleri,340041,132158,833
Dericorys lobata,563443,510363,159
Dermanyssus gallinae,263331,245182,15
Anthrenus verbasci,120113,81951,12402
Derocheilocaris typica,1194773,996705,1
Derodontus esotericus,218274,174055,53
Popa spurca,539089,1097042,703
Badumna longinqua,47135,47134,4086
Armadilloniscus ellipticus,469851,339098,96
Devadatta argyoides,149357,560979,171
Polycheria osborni,260646,179787,16
Diadocidia ferruginosa,990629,354856,1
Diapheromera femorata,84286,47320,8203
Diaprepocoris zealandiae,388565,488967,1
Platymischus dilatatus,480888,203213,80
Gigantodiaptomus amblyodon,1254906,85732,5
Unaspis euonymi,512010,48093,775
Diastata repleta,1347246,541547,3
Diastylis glabra,1402583,186427,1
Anthosoma crassum,489174,480559,6
Dicranolasma soerensenii,526526,525956,48
Heliocharis amazona,197199,85735,19
Nigma walckenaeri,84521,84523,2899
Dictyophara europaea,550657,53509,826
Dicyrtomina ornata,205720,55168,1442
Diguetia catamarquensis,817106,245371,36
Nallachius americanus,225441,176873,296
Coridius ianus,765716,336018,325
Clibanarius vittatus,52408,52409,3332
Chaetodiopsis meigenii,1477349,83944,278
Dipara trilineatus,1029666,1426986,10
Diphyllostoma fimbriatum,931114,572351,1
Diplatys sinuatus,1508282,415571,4
Diplocentrus lindo,263565,117248,104
Cryptometasternum queenslandense,1455029,245179,7
Diplolepis rosae,205320,1501094,12682
Altajosoma bakurovi,1435751,563736,1
Linothele sericata,817872,83114,100
Diprion similis,62626,49453,2846
Hyalopsyche disjuncta,1412111,178483,4
Cryptostemma alienum,887463,343550,3
Rhyncaphytoptus ipomoeae,1309173,373009,2
Aphanocephalus hemisphericus,1448145,330893,4
Berzercon ferdinandi,411021,373327,31
Elytrimitatrix undata,323575,779227,685
Nervijuncta wakefieldi,393326,245527,16
Dixella martinii,1200097,245356,13
Allorchestes angusta,345211,245474,9
Leuculodes lacteolaria,517861,173992,62
Condylostylus patibulatus,126214,68020,5935
Domecia hispida,195208,195165,8
Dorippe frascone,474842,368091,61
Cyphocallipus excavatus,1151790,982609,26
Tmethypocoelis ceratophora,372332,129462,167
Tinagma perdicella,805234,178892,79
Drepana arcuata,84428,84430,6274
Dromia personata,359111,51168,400
Drosophila suzukii,311582,67742,1530
Dryadaula terpsichorella,409435,531706,292
Dryinus koebelei,311610,203211,69
Izithunzi capense,781253,208569,97
Dryomyza anilis,447009,345446,443
Pelonomus obscurus,543480,178026,207
Dubioniscus marmoratus,1338092,715356,17
Cossula magnifica,217657,199255,373
Dulichia rhabdoplastis,1263185,983242,15
Hirsutodynomene spinosa,1071480,195218,7
Dysdera crocata,68912,69200,11950
Cybister fimbriolatus,124844,57659,1787
Echinophthirius horridus,1105895,330603,7
Ecnomus tenellus,546185,83730,184
Microsetella norvegica,203391,195073,17
Ectobius lapponicus,203409,461451,3246
Ectopsocus petersi,321933,245131,580
Chrysoclista linneella,364095,81988,275
Alaus oculatus,81706,53248,12016
Elenchus maorianus,1153340,372987,2
Elipsocus hyalinus,971799,141764,80
Stenelmis cheryl,231521,85753,33
Austrominius modestus,410684,1277295,841
Embia ramburi,712309,245142,13
Embolemus ruddii,1462659,244995,8
Empis tessellata,461172,49460,1232
Empusa pennata,55122,51924,4915
Ooencyrtus kuvanae,552034,69778,324
Endomychus coccineus,504738,173237,1831
Endromis versicolora,128214,124755,856
Systelloderes moschatus,1112996,173358,7
Hoplometopus antillensis,1439271,85758,68
Orchesella cincta,132308,132310,4704
Ekapa curvipes,1505711,1151067,7
Eocyzicus digueti,219224,1438275,2
Notiothauma reedi,1060850,981153,8
Eosentomon dureyi,802655,245392,1
Gonatista grisea,122637,569977,1399
Plistobunus rapax,526331,526080,7
Phaulernis dentella,524652,173638,119
Serratella ignita,416524,48010,107
Ephemera danica,452500,48008,1678
Hydrellia tritici,408706,84670,1113
Pugettia producta,49723,49724,8515
Josephiella microcarpae,506289,1426987,108
Epicopeia mencia,557327,320546,102
Knemidokoptes jamaicensis,297411,329216,9
Epilobocera sinuatifrons,100059,1241440,100
Idioglossa miraculosa,475510,874779,38
Epimeria loricata,850650,519101,2
Epiophlebia superstes,358475,85762,6
Bertkauia lucifuga,1071237,245143,245
Fulgoraecia exigua,220221,176439,1124
Teicophrys fusiformis,293471,705810,45
Pyrrharctia isabella,59675,121850,51187
Iris oratoria,67437,349368,5759
Eremobates vicinus,1229637,53510,27
Eresus kollari,202770,62051,974
Riccardoella oudemansi,297378,245271,74
Thersitina gasterostei,475653,339090,3
Cryptococcus fagisuga,54061,48026,1144
Deuterotinea casanella,803470,177611,382
Dyseriocrania griseocapitella,319051,173582,382
Eriophyes tiliae,319872,55584,7721
Eriphia verrucosa,128834,195210,2746
Cypherotylus californicus,1095700,82103,3109
Erythracarus pyrrholeucus,868744,625770,98
Balaustium leanderi,555954,121478,186
Ethusa mascarone,785146,195340,9
Euagrus chisoseus,264171,1108901,200
Eubelum asperius,1038588,475299,71
Eucalanus hyalinus,1351035,201748,4
Eucalliaxiopsis aequimana,1257451,879062,4
Paraeuchaeta elongata,1351813,201711,5
Kapala floridana,900057,245001,59
Eucinetus haemorrhoidalis,219638,173492,39
Deltometopus amoenicornis,173981,47886,68
Eucteniza relata,264036,416726,331
Eulichas funebris,209764,209776,6
Eulimnogammarus verrucosus,832171,179346,6
Ophelimus maskelli,408051,85012,764
Morsea californica,155256,85772,233
Eumunida picta,459577,1028876,4
Scutellista caeruleus,244823,1426988,15
Uropelma formosum,1249107,176401,31
Euphaea formosa,100734,85773,3147
Meganyctiphanes norvegica,639178,195134,67
Phyllalia patens,683595,145552,492
Paropioxys jucundus,682093,202136,200
Eurycercus longirostris,627873,533837,29
Eurymerodesmus mundus,527538,424358,18
Eurypauropus spinosus,1390727,373019,8
Eucrate crenata,965739,245486,22
Ankersquilla pardus,1158100,245502,1
Euryte longicauda,1411406,1067013,5
Eurythenes gryllus,466011,245494,8
Bruchophagus fellis,544875,69751,60
Euschmidtia cruciformis,149417,149027,19
Euscorpius flavicaudis,118942,56545,730
Rhachotropis aculeata,854908,171687,20
Stenoperla prasina,397466,85775,59
Marathyssa inficita,143019,122126,1818
Eutrichosoma mirabile,264318,1349203,5
Hypodacnella rubripes,390875,471715,88
Euzercon latus,297698,245178,30
Evalljapyx saundersi,1503307,245394,9
Evania appendigaster,264674,199595,7522
Iphidosoma fimetarium,1045716,245177,1
Osornodella gabrielae,1046378,983369,1
Fannia canicularis,121213,121214,162
Neofedrizzia tragardhi,1471512,1305510,2
Fergusonina metrosiderosi,389616,373023,3
Anacharis zealandica,153969,203209,116
Kukulcania hibernalis,122357,49331,4735
Fissiphallius martensi,1147132,535015,1
Metcalfa pruinosa,126209,52074,14449
Apterygida albipennis,1416568,49528,849
Camponotus pennsylvanicus,129902,47336,26690
Franklinothrips vespiformis,270746,1377482,44
Oodedesmus variabilis,1455186,154956,2
Lycorma delicatula,324726,54944,31789
Homadaula anisocentra,416957,417181,352
Galathea squamifera,342260,117667,460
Galene bispinosa,1223947,471691,21
Galeodes araneoides,739734,484269,79
Harpagomantis tricolor,569984,569983,530
Drassodella quinquelabecula,662881,416717,4
Gammaracanthus loricatus,1251208,983370,4
Gammarellus angulosus,552295,552296,93
Gammarus lacustris,220287,59806,611
Anchigarypus californicus,1506017,245011,108
Gasteruption jaculator,472957,244996,223
Cardisoma guanhumi,54952,51074,4130
Parathelphusa convexa,108692,85783,138
Gelastocoris oculatus,53497,53499,3421
Chionodes mediofuscella,216738,55519,1491
Geocoris erythrocephalus,709890,146952,534
Geogarypus longidigitatus,738212,432741,6
Peribatodes rhomboidaria,83459,49530,15671
Henia vesuviana,68721,133161,454
Georissus crenulatus,624443,456677,2
Anoplotrupes stercorosus,125655,60539,26031
Aquarius remigis,59651,59653,12185
Ovalipes ocellatus,52521,459556,2643
Eulasia pareyssei,564215,57465,280
Glaresis beckeri,1060922,178189,2
Dalquestia formosa,296823,1143900,426
Glomeris marginata,56078,56080,3174
Typhloglomeris martensi,1190249,982636,7
Glossina morsitans,342840,67371,3
Agapetus fuscipes,321932,172831,7
Diploschizia impigritella,218536,173889,1087
Glyphocrangon longirostris,459576,245516,7
Glyptograpsus impressus,260439,209089,63
Herpyllus ecclesiasticus,130880,50168,8474
Paragnathia formica,1071258,48146,50
Gnathophausia zoea,260623,983448,7
Goera pilosa,482049,148208,151
Phanogomphus exilis,520958,51128,6641
Goneplax rhomboides,545711,245512,90
Neogonodactylus curacaoensis,712884,50296,37
Acanthopachylus robustus,1282834,81884,426
Spilomantis occipitalis,1097211,1097046,449
Cameraria ohridella,126088,61353,5762
Gradungula sorenseni,389897,85794,72
Pachygrapsus crassipes,47188,47190,19944
Acroperla trivacuata,407345,85797,34
Camptonotus carolinensis,215979,68859,1658
Gryllus campestris,71248,52884,8462
Grylloblatta chintimini,1041250,53797,18
