class,order,family,genus,specie,taxon_id,count
Entognatha,Poduromorpha,Neanuridae,Anurida,Anurida granaria,409660,3
Arachnida,Araneae,Anyphaenidae,Anyphaena,Anyphaena numida,783381,50
Arachnida,Trombidiformes,Anystidae,Anystis,Anystis wallacei,650540,1
Insecta,Coleoptera,Brentidae,Apion,Apion haematodes,547587,9
Insecta,Coleoptera,Rhadalidae,Aplocnemus,Aplocnemus impressus,467737,4
Insecta,Hemiptera,Gerridae,Aquarius,Aquarius najas,474831,455
Insecta,Hemiptera,Aradidae,Aradus,Aradus cinnamomeus,624489,57
Insecta,Hymenoptera,Argidae,Arge,Arge pagana,129422,1026
Arachnida,Araneae,Araneidae,Argiope,Argiope trifasciata,67708,15185
Insecta,Lepidoptera,Argyresthiidae,Argyresthia,Argyresthia pruniella,50956,266
Malacostraca,Isopoda,Armadillidiidae,Armadillidium,Armadillidium nasatum,210119,7300
Insecta,Hymenoptera,Tenthredinidae,Athalia,Athalia cordata,733233,86
Arachnida,Araneae,Atypidae,Atypus,Atypus piceus,497725,16
Malacostraca,Decapoda,Astacidae,Austropotamobius,Austropotamobius torrentium,94975,66
Insecta,Lepidoptera,Batrachedridae,Batrachedra,Batrachedra pinicolella,522785,17
Insecta,Diptera,Bibionidae,Bibio,Bibio lanigerus,495171,344
Insecta,Mecoptera,Bittacidae,Bittacus,Bittacus hageni,804510,16
Insecta,Lepidoptera,Blastobasidae,Blastobasis,Blastobasis marmorosella,554190,4
Insecta,Diptera,Bombyliidae,Bombylius,Bombylius discolor,524797,864
Branchiopoda,Anomopoda,Bosminidae,Bosmina,Bosmina coregoni,1297371,9
Entognatha,Symphypleona,Bourletiellidae,Bourletiella,Bourletiella arvalis,203383,20
Insecta,Lepidoptera,Brachodidae,Brachodes,Brachodes pumila,1147957,12
Insecta,Hymenoptera,Chalcididae,Brachymeria,Brachymeria tibialis,560016,42
Insecta,Coleoptera,Kateretidae,Brachypterus,Brachypterus glaber,546364,7
Insecta,Lepidoptera,Bucculatricidae,Bucculatrix,Bucculatrix frangutella,522710,72
Arachnida,Scorpiones,Buthidae,Buthus,Buthus pyrenaeus,1324589,25
Insecta,Coleoptera,Byturidae,Byturus,Byturus tomentosus,528660,108
Insecta,Ephemeroptera,Caenidae,Caenis,Caenis robusta,546141,2
Insecta,Hymenoptera,Cephidae,Calameuta,Calameuta pygmaea,1246407,26
Insecta,Hemiptera,Caliscelidae,Caliscelis,Caliscelis wallengreni,945417,8
Insecta,Odonata,Calopterygidae,Calopteryx,Calopteryx virgo,61536,10408
Entognatha,Diplura,Campodeidae,Campodea,Campodea fragilis,387070,1
Insecta,Plecoptera,Capniidae,Capnia,Capnia nigra,495428,1
Insecta,Coleoptera,Buprestidae,Capnodis,Capnodis tenebricosa,546619,480
Insecta,Coleoptera,Carabidae,Carabus,Carabus coriaceus,360830,3757
Insecta,Hemiptera,Membracidae,Centrotus,Centrotus chloroticus,1146174,7
Insecta,Diptera,Oestridae,Cephenemyia,Cephenemyia ulrichii,639142,19
Insecta,Hymenoptera,Encyrtidae,Cerapterocerus,Cerapterocerus celadus,1083787,1
Insecta,Hemiptera,Cercopidae,Cercopis,Cercopis intermedia,323017,1337
Insecta,Coleoptera,Cerylonidae,Cerylon,Cerylon ferrugineum,500722,10
Insecta,Odonata,Lestidae,Chalcolestes,Chalcolestes parvidens,433429,495
Insecta,Diptera,Chaoboridae,Chaoborus,Chaoborus pallidus,129894,3
Arachnida,Araneae,Cheiracanthiidae,Cheiracanthium,Cheiracanthium punctorium,61866,280
Insecta,Diptera,Stratiomyidae,Chloromyia,Chloromyia speciosa,715211,96
Insecta,Lepidoptera,Elachistidae,Chrysoclista,Chrysoclista lathamella,805603,5
Insecta,Neuroptera,Chrysopidae,Chrysopa,Chrysopa walkeri,796594,183
Insecta,Diptera,Tabanidae,Chrysops,Chrysops caecutiens,334352,563
Arachnida,Pseudoscorpiones,Chthoniidae,Chthonius,Chthonius tenuis,558361,2
Insecta,Diptera,Chyromyidae,Chyromya,Chyromya flava,625698,1
Insecta,Hemiptera,Cicadellidae,Cicadella,Cicadella lasiocarpae,53233,2
Insecta,Hymenoptera,Cimbicidae,Cimbex,Cimbex connatus,62417,219
Insecta,Hemiptera,Achilidae,Cixidia,Cixidia sikaniae,961321,4
Arachnida,Araneae,Clubionidae,Clubiona,Clubiona corticalis,538406,43
Insecta,Diptera,Clusiidae,Clusia,Clusia flava,1181524,4
Insecta,Coleoptera,Coccinellidae,Coccinella,Coccinella undecimpunctata,205977,1503
Insecta,Diptera,Coelopidae,Coelopa,Coelopa pilipes,950235,5
Insecta,Lepidoptera,Coleophoridae,Coleophora,Coleophora deauratella,217331,193
Insecta,Hymenoptera,Colletidae,Colletes,Colletes cunicularius,484487,1130
Insecta,Neuroptera,Coniopterygidae,Conwentzia,Conwentzia pineticola,454957,3
Insecta,Odonata,Cordulegastridae,Cordulegaster,Cordulegaster bidentata,98413,487
Chilopoda,Scolopendromorpha,Cryptopidae,Cryptops,Cryptops anomalans,217838,33
Arachnida,Araneae,Ctenizidae,Cteniza,Cteniza moggridgei,784103,3
Insecta,Siphonaptera,Pulicidae,Ctenocephalides,Ctenocephalides canis,307364,10
Insecta,Coleoptera,Nitidulidae,Cychramus,Cychramus variegatus,605910,69
Insecta,Lepidoptera,Tortricidae,Cydia,Cydia splendana,324225,1395
Malacostraca,Isopoda,Cylisticidae,Cylisticus,Cylisticus esterelanus,884820,1
Insecta,Hemiptera,Cymidae,Cymus,Cymus glandicolor,624524,102
Insecta,Hymenoptera,Cynipidae,Cynips,Cynips longiventris,143904,835
Insecta,Hymenoptera,Melittidae,Dasypoda,Dasypoda morawitzi,1133600,18
Insecta,Hemiptera,Miridae,Deraeocoris,Deraeocoris lutescens,551900,1312
Arachnida,Mesostigmata,Dermanyssidae,Dermanyssus,Dermanyssus hirundinis,263332,1
Hexanauplia,Cyclopoida,Cyclopidae,Diacyclops,Diacyclops languidoides,1075393,1
Insecta,Diptera,Diastatidae,Diastata,Diastata nebulosa,542823,1
Insecta,Hemiptera,Stenocephalidae,Dicranocephalus,Dicranocephalus albipes,469973,325
Insecta,Hemiptera,Tingidae,Dictyla,Dictyla humuli,554711,171
Insecta,Hemiptera,Dictyopharidae,Dictyophara,Dictyophara multireticulata,469943,46
Entognatha,Symphypleona,Dicyrtomidae,Dicyrtomina,Dicyrtomina saundersi,356217,345
Insecta,Diptera,Asilidae,Dioctria,Dioctria rufipes,547018,528
Insecta,Hymenoptera,Diplolepididae,Diplolepis,Diplolepis mayri,553509,391
Insecta,Hymenoptera,Diprionidae,Diprion,Diprion pini,470351,99
Insecta,Lepidoptera,Lypusidae,Diurnea,Diurnea lipsiella,522781,172
Insecta,Orthoptera,Rhaphidophoridae,Dolichopoda,Dolichopoda linderii,748354,27
Insecta,Hymenoptera,Ampulicidae,Dolichurus,Dolichurus haemorrhous,1119290,5
Insecta,Diptera,Drosophilidae,Drosophila,Drosophila busckii,388746,156
Insecta,Hymenoptera,Dryinidae,Dryinus,Dryinus niger,1048930,1
Arachnida,Araneae,Dysderidae,Dysdera,Dysdera westringi,717159,2
Insecta,Blattodea,Ectobiidae,Ectobius,Ectobius sylvestris,472320,1436
Insecta,Psocodea,Ectopsocidae,Ectopsocus,Ectopsocus vachoni,270679,12
Insecta,Diptera,Empididae,Empis,Empis livida,52516,212
Insecta,Ephemeroptera,Ephemeridae,Ephemera,Ephemera vulgata,501242,627
Arachnida,Araneae,Agelenidae,Eratigena,Eratigena atrica,751174,1747
Arachnida,Araneae,Eresidae,Eresus,Eresus sandaliatus,122708,102
Arachnida,Sarcoptiformes,Eriophyidae,Eriophyes,Eriophyes laevis,464223,664
Insecta,Diptera,Syrphidae,Eristalis,Eristalis arbustorum,320786,10552
Arachnida,Araneae,Mimetidae,Ero,Ero tuberculata,318915,57
Insecta,Lepidoptera,Depressariidae,Ethmia,Ethmia quadrillella,702846,291
Insecta,Lepidoptera,Lecithoceridae,Eurodachtha,Eurodachtha canigella,468686,12
Insecta,Hemiptera,Scutelleridae,Eurygaster,Eurygaster hottentotta,784805,33
Insecta,Hymenoptera,Eurytomidae,Eurytoma,Eurytoma rosae,1103808,2
Arachnida,Scorpiones,Euscorpiidae,Euscorpius,Euscorpius italicus,56528,78
Insecta,Diptera,Fanniidae,Fannia,Fannia lustrator,860646,19
Malacostraca,Amphipoda,Gammaridae,Gammarus,Gammarus fossarum,549490,28
Insecta,Hymenoptera,Gasteruptiidae,Gasteruption,Gasteruption hastator,627104,43
Insecta,Hemiptera,Geocoridae,Geocoris,Geocoris megacephalus,701662,117
Insecta,Diptera,Opomyzidae,Geomyza,Geomyza balachowskyi,467205,1
Insecta,Coleoptera,Georissidae,Georissus,Georissus laesicollis,1086112,1
Diplopoda,Glomerida,Glomeridae,Glomeris,Glomeris klugii,563780,280
Insecta,Lepidoptera,Glyphipterigidae,Glyphipterix,Glyphipterix thrasonella,503954,82
Insecta,Lepidoptera,Gracillariidae,Gracillaria,Gracillaria loriolella,875769,2
Insecta,Orthoptera,Gryllotalpidae,Gryllotalpa,Gryllotalpa vineae,503713,106
Insecta,Orthoptera,Gryllidae,Gryllus,Gryllus bimaculatus,71247,2114
Insecta,Hymenoptera,Halictidae,Halictus,Halictus rubicundus,127747,3608
Malacostraca,Isopoda,Halophilosciidae,Halophiloscia,Halophiloscia hirsuta,946645,1
Insecta,Hemiptera,Hebridae,Hebrus,Hebrus ruficeps,624523,10
Insecta,Hymenoptera,Chrysididae,Hedychrum,Hedychrum chalybaeum,1119188,34
Insecta,Lepidoptera,Heliozelidae,Heliozela,Heliozela hammoniella,522500,6
Insecta,Coleoptera,Helophoridae,Helophorus,Helophorus brevipalpis,131103,5
Insecta,Hymenoptera,Heloridae,Helorus,Helorus ruficornis,853751,1
Chilopoda,Geophilomorpha,Geophilidae,Henia,Henia bicarinata,575156,2
Insecta,Ephemeroptera,Heptageniidae,Heptagenia,Heptagenia flava,546145,6
Insecta,Coleoptera,Heteroceridae,Heterocerus,Heterocerus obsoletus,606938,9
Insecta,Hemiptera,Heterogastridae,Heterogaster,Heterogaster cathariae,468925,55
Insecta,Lepidoptera,Heterogynidae,Heterogynis,Heterogynis canalensis,547494,8
Insecta,Hemiptera,Nabidae,Himacerus,Himacerus apterus,333735,1952
Chilopoda,Geophilomorpha,Himantariidae,Himantarium,Himantarium europaeum,1093305,3
Arachnida,Opiliones,Cladonychiidae,Holoscotolemon,Holoscotolemon oreophilum,526507,2
Arachnida,Trombidiformes,Hydrachnidae,Hydrachna,Hydrachna globosa,803568,1
Insecta,Coleoptera,Hydrochidae,Hydrochus,Hydrochus elongatus,978756,2
Insecta,Hemiptera,Hydrometridae,Hydrometra,Hydrometra gracilenta,476079,27
Insecta,Trichoptera,Hydropsychidae,Hydropsyche,Hydropsyche pellucidula,546193,6
Insecta,Lepidoptera,Incurvariidae,Incurvaria,Incurvaria oehlmanniella,522507,48
Insecta,Lepidoptera,Meessiidae,Infurcitinea,Infurcitinea argentimaculella,522692,4
Insecta,Hemiptera,Blissidae,Ischnodemus,Ischnodemus genei,1106302,9
Insecta,Odonata,Coenagrionidae,Ischnura,Ischnura pumilio,318452,1186
Arachnida,Opiliones,Ischyropsalididae,Ischyropsalis,Ischyropsalis nodifera,526938,1
Insecta,Hemiptera,Issidae,Issus,Issus lauri,1159918,19
Arachnida,Ixodida,Ixodidae,Ixodes,Ixodes trianguliceps,852684,1
Insecta,Hemiptera,Kermesidae,Kermes,Kermes ilicis,1153251,3
Insecta,Hemiptera,Lygaeidae,Kleidocerys,Kleidocerys ericae,924139,50
Insecta,Psocodea,Lachesillidae,Lachesilla,Lachesilla quercus,955815,3
Insecta,Coleoptera,Tenebrionidae,Lagria,Lagria grenieri,470283,42
Insecta,Lepidoptera,Prodoxidae,Lampronia,Lampronia capitella,222642,30
Insecta,Coleoptera,Lampyridae,Lampyris,Lampyris iberica,372426,63
Insecta,Coleoptera,Ptinidae,Lasioderma,Lasioderma haemorrhoidale,501463,8
Insecta,Hymenoptera,Formicidae,Lasius,Lasius flavus,69315,744
Arachnida,Opiliones,Sclerosomatidae,Leiobunum,Leiobunum blackwalli,61348,942
Insecta,Lepidoptera,Brahmaeidae,Lemonia,Lemonia taraxaci,334427,75
Insecta,Hemiptera,Diaspididae,Lepidosaphes,Lepidosaphes conchiformis,709689,1
Insecta,Trichoptera,Lepidostomatidae,Lepidostoma,Lepidostoma basale,546197,1
Insecta,Hemiptera,Leptopodidae,Leptopus,Leptopus hispanus,521450,25
Insecta,Hymenoptera,Leucospidae,Leucospis,Leucospis gigas,525718,23
Insecta,Plecoptera,Leuctridae,Leuctra,Leuctra geniculata,482069,6
Insecta,Odonata,Libellulidae,Libellula,Libellula depressa,563098,7335
Malacostraca,Isopoda,Ligiidae,Ligia,Ligia italica,369808,485
Arachnida,Araneae,Liocranidae,Liocranum,Liocranum apertum,789008,1
Insecta,Diptera,Hippoboscidae,Lipoptena,Lipoptena fortisetosa,1028137,5
Insecta,Psocodea,Liposcelididae,Liposcelis,Liposcelis priesneri,1203449,2
Chilopoda,Lithobiomorpha,Lithobiidae,Lithobius,Lithobius variegatus,342427,360
Insecta,Diptera,Lonchopteridae,Lonchoptera,Lonchoptera scutellata,1200508,5
Insecta,Hemiptera,Microphysidae,Loricula,Loricula pselaphiformis,709886,7
Insecta,Coleoptera,Lucanidae,Lucanus,Lucanus tetraodon,104825,217
Insecta,Diptera,Calliphoridae,Lucilia,Lucilia illustris,494868,101
Insecta,Lepidoptera,Erebidae,Lymantria,Lymantria monacha,224214,2924
Insecta,Lepidoptera,Lyonetiidae,Lyonetia,Lyonetia prunifoliella,453435,79
Insecta,Diptera,Keroplatidae,Macrocera,Macrocera centralis,1079627,6
Insecta,Coleoptera,Melyridae,Malachius,Malachius aeneus,82061,1325
Insecta,Neuroptera,Mantispidae,Mantispa,Mantispa aphavexelte,921253,44
Insecta,Hymenoptera,Megalodontesidae,Megalodontes,Megalodontes panzeri,1153958,26
Insecta,Diptera,Phoridae,Megaselia,Megaselia nigra,1200561,1
Insecta,Hymenoptera,Megastigmidae,Megastigmus,Megastigmus rosae,1083560,4
Insecta,Coleoptera,Meloidae,Meloe,Meloe violaceus,130205,1517
Insecta,Hymenoptera,Thynnidae,Meria,Meria lineata,856229,4
Insecta,Diptera,Muscidae,Mesembrina,Mesembrina mystacea,472908,274
Insecta,Hymenoptera,Pteromalidae,Mesopolobus,Mesopolobus aequus,553167,1
Insecta,Psocodea,Mesopsocidae,Mesopsocus,Mesopsocus unipunctatus,481364,11
Insecta,Hemiptera,Mesoveliidae,Mesovelia,Mesovelia vittigera,675152,19
Arachnida,Araneae,Tetragnathidae,Metellina,Metellina segmentata,55621,403
Insecta,Lepidoptera,Gelechiidae,Metzneria,Metzneria aprilella,553336,21
Arachnida,Araneae,Sparassidae,Micrommata,Micrommata ligurina,319544,1140
Insecta,Neuroptera,Hemerobiidae,Micromus,Micromus angulatus,430543,441
Insecta,Diptera,Micropezidae,Micropeza,Micropeza lateralis,905474,39
Insecta,Lepidoptera,Micropterigidae,Micropterix,Micropterix aruncella,522425,200
Insecta,Hemiptera,Veliidae,Microvelia,Microvelia buenoi,453969,21
Insecta,Diptera,Lauxaniidae,Minettia,Minettia lupulina,320789,93
Arachnida,Araneae,Thomisidae,Misumena,Misumena bicolor,795988,3
Insecta,Lepidoptera,Momphidae,Mompha,Mompha raschkiella,453454,109
Insecta,Hymenoptera,Torymidae,Monodontomerus,Monodontomerus rugulosus,1417636,1
Insecta,Lepidoptera,Tineidae,Monopis,Monopis monachella,128894,342
Insecta,Coleoptera,Mordellidae,Mordellochroa,Mordellochroa milleri,713277,20
Insecta,Hymenoptera,Mutillidae,Mutilla,Mutilla quinquemaculata,494065,162
Insecta,Coleoptera,Mycetophagidae,Mycetophagus,Mycetophagus atomarius,204073,37
Insecta,Coleoptera,Mycteridae,Mycterus,Mycterus umbellatarum,468876,1
Insecta,Orthoptera,Myrmecophilidae,Myrmecophilus,Myrmecophilus myrmecophilus,486316,13
Insecta,Trichoptera,Leptoceridae,Mystacides,Mystacides azureus,355798,614
Arachnida,Opiliones,Nemastomatidae,Nemastoma,Nemastoma lugubre,504974,210
Arachnida,Araneae,Nemesiidae,Nemesia,Nemesia caementaria,786713,2
Arachnida,Pseudoscorpiones,Neobisiidae,Neobisium,Neobisium maritimum,1146536,5
Insecta,Hemiptera,Nepidae,Nepa,Nepa sardiniensis,1074318,5
Insecta,Diptera,Pipunculidae,Nephrocerus,Nephrocerus lapponicus,546559,1
Arachnida,Araneae,Linyphiidae,Neriene,Neriene montana,225814,816
Insecta,Hymenoptera,Pamphiliidae,Neurotoma,Neurotoma nemoralis,794569,14
Arachnida,Araneae,Dictynidae,Nigma,Nigma puella,468257,436
Insecta,Lepidoptera,Noctuidae,Noctua,Noctua comes,205187,5527
Insecta,Coleoptera,Noteridae,Noterus,Noterus crassicornis,922092,4
Insecta,Hemiptera,Notonectidae,Notonecta,Notonecta maculata,56558,170
Insecta,Coleoptera,Anthicidae,Notoxus,Notoxus trifasciatus,900273,13
Arachnida,Araneae,Titanoecidae,Nurscia,Nurscia sequerai,783861,12
Insecta,Diptera,Sarcophagidae,Nyctia,Nyctia lugubris,864797,36
Insecta,Coleoptera,Staphylinidae,Ocypus,Ocypus ophthalmicus,502556,554
Insecta,Orthoptera,Oecanthidae,Oecanthus,Oecanthus dulcisonans,553754,61
Arachnida,Araneae,Oecobiidae,Oecobius,Oecobius maculatus,319752,237
Insecta,Coleoptera,Oedemeridae,Oedemera,Oedemera podagrariae,473043,2544
Insecta,Lepidoptera,Autostichidae,Oegoconia,Oegoconia deauratella,324767,88
Insecta,Coleoptera,Phalacridae,Olibrus,Olibrus corticalis,874634,12
Insecta,Coleoptera,Omalisidae,Omalisus,Omalisus victoris,1520677,1
Diplopoda,Julida,Julidae,Ommatoiulus,Ommatoiulus rutilans,371572,280
Malacostraca,Isopoda,Oniscidae,Oniscus,Oniscus simoni,1513292,1
Insecta,Odonata,Gomphidae,Onychogomphus,Onychogomphus uncatus,133787,1230
Arachnida,Araneae,Oonopidae,Oonops,Oonops pulcher,318913,4
Entognatha,Entomobryomorpha,Entomobryidae,Orchesella,Orchesella villosa,487130,759
Insecta,Coleoptera,Orsodacnidae,Orsodacne,Orsodacne humeralis,1008004,17
Insecta,Hymenoptera,Orussidae,Orussus,Orussus unicolor,1129983,3
Insecta,Coleoptera,Melandryidae,Osphya,Osphya aeneipennis,1242359,5
Insecta,Hemiptera,Oxycarenidae,Oxycarenus,Oxycarenus hyalinipennis,541678,313
Arachnida,Araneae,Oxyopidae,Oxyopes,Oxyopes lineatus,311359,198
Insecta,Diptera,Pallopteridae,Palloptera,Palloptera ustulata,841889,17
Insecta,Hemiptera,Pentatomidae,Palomena,Palomena viridissima,570946,85
Insecta,Mecoptera,Panorpidae,Panorpa,Panorpa vulgaris,123579,1624
Insecta,Lepidoptera,Papilionidae,Papilio,Papilio alexanor,362809,140
Insecta,Diptera,Pediciidae,Pedicia,Pedicia littoralis,1047419,1
Insecta,Diptera,Phaeomyiidae,Pelidnoptera,Pelidnoptera fuscipennis,345525,1
Insecta,Coleoptera,Peltidae,Peltis,Peltis grossa,540982,140
Insecta,Lepidoptera,Geometridae,Peribatodes,Peribatodes secundaria,324190,674
Insecta,Hymenoptera,Perilampidae,Perilampus,Perilampus ruficornis,904808,12
Insecta,Psocodea,Peripsocidae,Peripsocus,Peripsocus milleri,394832,23
Insecta,Plecoptera,Perlidae,Perla,Perla bipunctata,482055,5
Insecta,Plecoptera,Perlodidae,Perlodes,Perlodes dispar,1005451,1
Insecta,Lepidoptera,Notodontidae,Phalera,Phalera bucephaloides,751602,24
Insecta,Lepidoptera,Epermeniidae,Phaulernis,Phaulernis fulviguttella,524654,17
Insecta,Hymenoptera,Crabronidae,Philanthus,Philanthus pulchellus,474628,18
Arachnida,Araneae,Philodromidae,Philodromus,Philodromus margaritatus,360677,758
Malacostraca,Isopoda,Philosciidae,Philoscia,Philoscia affinis,542133,297
Insecta,Diptera,Agromyzidae,Phytomyza,Phytomyza agromyzina,332309,692
Arachnida,Sarcoptiformes,Phytoptidae,Phytoptus,Phytoptus tetratrichus,711811,11
Insecta,Lepidoptera,Pieridae,Pieris,Pieris napi,54087,24357
Insecta,Hemiptera,Piesmatidae,Piesma,Piesma capitatum,897921,12
Arachnida,Araneae,Pisauridae,Pisaura,Pisaura quadrilineata,783997,1
Malacostraca,Isopoda,Platyarthridae,Platyarthrus,Platyarthrus schoblii,946674,37
Insecta,Odonata,Platycnemididae,Platycnemis,Platycnemis latipes,109646,1194
Insecta,Diptera,Platystomatidae,Platystoma,Platystoma lugubre,324315,18
Branchiopoda,Anomopoda,Chydoridae,Pleuroxus,Pleuroxus truncatus,483855,13
Insecta,Lepidoptera,Plutellidae,Plutella,Plutella porrectella,228423,248
Insecta,Hymenoptera,Vespidae,Polistes,Polistes gallicus,154442,679
Insecta,Diptera,Polleniidae,Pollenia,Pollenia pediculata,488490,41
Diplopoda,Polydesmida,Polydesmidae,Polydesmus,Polydesmus coriaceus,321837,21
Insecta,Coleoptera,Curculionidae,Polydrusus,Polydrusus cervinus,456029,779
Insecta,Lepidoptera,Lycaenidae,Polyommatus,Polyommatus amandus,362078,1608
Insecta,Diptera,Chironomidae,Polypedilum,Polypedilum scalaenum,715786,2
Malacostraca,Isopoda,Porcellionidae,Porcellio,Porcellio spinicornis,130169,5060
Insecta,Lepidoptera,Praydidae,Prays,Prays oleae,1062254,18
Insecta,Orthoptera,Pamphagidae,Prionotropis,Prionotropis rhodanica,542010,10
Insecta,Orthoptera,Acrididae,Pseudochorthippus,Pseudochorthippus montanus,496774,255
Insecta,Lepidoptera,Opostegidae,Pseudopostega,Pseudopostega auritella,522491,20
Insecta,Diptera,Psilidae,Psila,Psila merdaria,774923,13
Insecta,Lepidoptera,Psychidae,Psyche,Psyche crassiorella,1006631,1
Insecta,Hemiptera,Psyllidae,Psylla,Psylla alni,359255,101
Insecta,Diptera,Ptychopteridae,Ptychoptera,Ptychoptera albimana,631085,62
Insecta,Lepidoptera,Pyralidae,Pyralis,Pyralis regalis,479797,181
Insecta,Coleoptera,Pyrochroidae,Pyrochroa,Pyrochroa coccinea,51680,3329
Insecta,Hemiptera,Pyrrhocoridae,Pyrrhocoris,Pyrrhocoris marginatus,543897,54
Insecta,Blattodea,Rhinotermitidae,Reticulitermes,Reticulitermes lucifugus,418682,16
Insecta,Diptera,Rhagionidae,Rhagio,Rhagio scolopaceus,60469,946
Insecta,Coleoptera,Cantharidae,Rhagonycha,Rhagonycha lignosa,494426,564
Insecta,Coleoptera,Monotomidae,Rhizophagus,Rhizophagus dispar,499901,56
Insecta,Trichoptera,Rhyacophilidae,Rhyacophila,Rhyacophila aurata,1508240,1
Insecta,Hemiptera,Rhyparochromidae,Rhyparochromus,Rhyparochromus pini,447102,708
Arachnida,Trombidiformes,Ereynetidae,Riccardoella,Riccardoella limacum,396442,17
Insecta,Lepidoptera,Roeslerstammiidae,Roeslerstammia,Roeslerstammia pronubella,481629,1
Arachnida,Opiliones,Sabaconidae,Sabacon,Sabacon paradoxus,525959,1
Insecta,Hemiptera,Saldidae,Saldula,Saldula arenicola,521055,12
Insecta,Coleoptera,Salpingidae,Salpingus,Salpingus ruficollis,494609,45
Arachnida,Araneae,Salticidae,Salticus,Salticus mutabilis,494190,214
Insecta,Lepidoptera,Saturniidae,Saturnia,Saturnia pyri,56532,2232
Branchiopoda,Anomopoda,Daphniidae,Scapholeberis,Scapholeberis rammneri,1204845,2
Insecta,Diptera,Scathophagidae,Scathophaga,Scathophaga furcata,423755,130
Insecta,Diptera,Scenopinidae,Scenopinus,Scenopinus niger,1075410,6
Insecta,Diptera,Sciaridae,Sciara,Sciara analis,1039359,5
Insecta,Hymenoptera,Scoliidae,Scolia,Scolia sexmaculata,738878,346
Chilopoda,Scolopendromorpha,Scolopendridae,Scolopendra,Scolopendra oraniensis,461070,221
Arachnida,Opiliones,Phalangodidae,Scotolemon,Scotolemon lespesi,536710,2
Arachnida,Araneae,Gnaphosidae,Scotophaeus,Scotophaeus scutulatus,782825,25
Insecta,Lepidoptera,Scythrididae,Scythris,Scythris scopolella,732971,136
Arachnida,Araneae,Scytodidae,Scytodes,Scytodes velutina,141729,101
Arachnida,Araneae,Segestriidae,Segestria,Segestria senoculata,318909,268
Insecta,Lepidoptera,Sesiidae,Sesia,Sesia bembeciformis,362869,97
Insecta,Megaloptera,Sialidae,Sialis,Sialis fuliginosa,525165,5
Insecta,Hemiptera,Corixidae,Sigara,Sigara lateralis,476014,17
Insecta,Diptera,Lonchaeidae,Silba,Silba adipata,689737,10
Insecta,Diptera,Simuliidae,Simulium,Simulium aureum,875608,1
Insecta,Ephemeroptera,Siphlonuridae,Siphlonurus,Siphlonurus aestivalis,1016663,1
Insecta,Neuroptera,Sisyridae,Sisyra,Sisyra terminalis,525173,26
Entognatha,Symphypleona,Sminthurididae,Sminthurides,Sminthurides malmgreni,231117,10
Entognatha,Symphypleona,Katiannidae,Sminthurinus,Sminthurinus aureus,397238,26
Insecta,Hymenoptera,Spalangiidae,Spalangia,Spalangia rugulosa,1362222,1
Insecta,Coleoptera,Alexiidae,Sphaerosoma,Sphaerosoma quercus,1225956,1
Insecta,Hymenoptera,Sphecidae,Sphex,Sphex pruinosus,554235,87
Arachnida,Araneae,Theridiidae,Steatoda,Steatoda triangulosa,81579,7459
Insecta,Lepidoptera,Nepticulidae,Stigmella,Stigmella microtheriella,397536,121
Insecta,Strepsiptera,Stylopidae,Stylops,Stylops melittae,546160,1
Insecta,Diptera,Heleomyzidae,Suillia,Suillia affinis,335264,38
